date,total_pilgrims,dow
2026-01-13,73014,1
2026-01-14,76289,2
2026-01-15,64064,3
2026-01-16,78733,4
2026-01-17,83576,5
2026-01-18,84058,6
2026-01-19,79098,0
2026-01-20,73788,1
2026-01-21,74056,2
2026-01-22,64571,3
2026-01-23,69726,4
2026-01-24,76654,5
2026-01-25,84014,6
2026-01-26,75791,0
2026-01-27,77049,1
2026-01-28,72637,2
2026-01-29,61315,3
2026-01-30,69254,4
2026-01-31,76935,5
2026-02-01,74192,6
2026-02-02,69262,0
2026-02-03,69389,1
2026-02-04,68586,2
2026-02-05,61655,3
2026-02-06,67085,4
2026-02-07,81777,5
2026-02-08,81894,6
2026-02-09,74130,0
2026-02-11,73652,2
2026-02-12,61632,3
